backgroundCompilationEnabled,freqInlineSize,minInliningThreshold,inlineSmallCode,graalBootstrapEnabled,compileThreshold,codeFlushingEnabled,onStackReplacePercentage,loopMinUnroll,counterDecayEnabled,maxInlineLevel,loopUnrollLimit,loopMaxUnroll,maxRecursiveInlineLevel,tieredCompilationEnabled,maxInlineSize,compileHugeMethodsEnabled,graalCompilerEnabled,result
0,398,1501,1,9189,7,0,3,1,0,814,39,428,0,1,63,10,1,6626
1,330,1511,1,15431,12,0,2,1,1,853,25,155,0,0,39,21,1,3616
1,142,732,0,30133,11,1,9,1,0,410,20,301,0,1,114,14,1,9725
0,151,1894,1,4306,14,0,5,1,0,159,32,267,2,0,49,19,1,3625
