minInliningThreshold,freqInlineSize,loopMinUnroll,inlineSmallCode,maxInlineLevel,loopUnrollLimit,loopMaxUnroll,maxRecursiveInlineLevel,maxInlineSize,result
320,1476,3,14,41,159,2,85,17,3906
56,1461,8,6,55,323,3,22,11,3996
308,689,9,15,67,323,0,145,13,4652
120,790,6,10,69,186,3,113,10,4309
344,561,2,15,27,467,3,122,11,4662
269,790,4,7,80,120,3,89,19,4507
83,695,5,5,29,141,2,23,18,3690
201,511,5,15,75,354,0,97,13,4474
141,538,8,12,25,297,1,124,8,4478
91,1412,6,12,36,428,1,110,22,4730
383,1176,9,7,44,479,3,20,21,4059
261,837,6,5,26,392,3,102,16,4581
92,1183,8,6,64,330,2,47,25,3927
77,1178,7,7,68,346,3,143,26,4726
249,674,7,9,71,228,2,63,6,3834
282,1476,5,11,48,109,0,47,24,3731
85,654,10,7,56,228,1,105,10,4277
388,1923,5,12,65,191,0,138,7,4588
341,1983,7,9,45,357,1,77,16,3999
376,1590,7,5,49,171,1,87,22,3861
195,754,6,12,37,344,3,36,21,3576
369,732,10,9,41,180,2,82,17,3921
394,1079,10,5,22,452,0,28,7,3721
181,536,3,11,71,490,3,117,13,4947
318,1437,6,6,24,305,2,112,23,4347
374,1282,6,7,55,156,2,54,15,3826
305,1110,2,11,47,325,3,45,16,3949
177,1821,7,10,58,386,3,58,9,4406
143,653,5,11,40,241,3,59,10,3818
103,760,2,5,47,295,2,101,11,4262
82,1044,8,12,50,426,3,55,8,4557
265,948,6,15,46,352,3,133,23,4469
266,624,6,14,58,285,3,137,7,4821
294,928,3,5,43,141,1,121,12,4246
273,1145,10,6,69,189,2,32,6,3898
91,1904,7,9,57,277,1,138,25,4623
70,965,9,10,39,435,1,21,23,3762
186,1133,5,8,20,368,3,25,24,3706
352,1180,3,15,37,278,1,131,21,4705
285,1771,6,14,31,330,3,14,18,3719
50,995,7,9,52,367,1,61,17,3866
156,1384,5,9,34,395,1,113,20,4592
55,1272,10,8,74,489,0,126,8,4583
109,1731,2,15,45,338,1,10,13,3739
328,709,6,15,72,264,1,122,23,4782
181,519,9,7,44,412,3,73,24,4459
336,1469,9,11,53,204,3,40,11,3881
67,1082,2,13,54,180,1,133,13,4748
206,1050,10,14,29,498,3,50,16,4088
372,1602,2,11,34,389,0,42,6,3587
55,569,4,15,38,420,1,38,24,3639
344,1499,3,15,36,380,1,48,17,3608
241,1560,2,13,26,449,0,53,25,3569
154,1850,3,11,28,388,1,65,20,4059
70,774,2,14,73,396,0,49,14,3917
307,563,2,12,21,495,3,37,21,3932
333,1981,4,15,33,459,0,55,9,3892
96,792,6,15,40,418,3,39,23,4108
129,1299,2,14,34,430,0,74,20,3908
288,1533,5,12,78,366,0,49,25,3919
363,518,4,7,22,369,1,42,16,3738
377,878,2,5,34,163,1,48,9,3846
208,1452,8,15,29,463,1,32,21,3803
337,1548,5,7,26,185,3,49,25,3450
207,1611,4,5,40,388,3,49,24,4685
316,1886,5,5,23,208,3,52,21,3475
214,1264,7,5,21,117,3,51,23,3707
149,1337,2,5,31,140,3,47,26,3740
300,1640,6,5,23,430,3,54,26,4181
340,1717,4,5,21,121,3,65,24,3713
333,570,10,6,23,149,3,56,25,3804
233,1849,5,9,28,241,3,49,25,3507
354,1673,3,5,32,244,3,53,19,3866
374,1912,5,6,20,295,3,49,13,3547
168,1739,5,7,21,304,2,50,10,3542
130,1804,8,15,24,213,3,52,17,3737
165,2000,5,7,24,282,3,50,6,3543
320,1616,5,7,26,192,3,73,18,3765
212,1893,5,10,25,375,2,48,10,3540
200,1621,5,5,28,279,3,56,10,3868
