10,5,30916
10,6,30826
10,7,30859
10,8,30883
10,9,30639
10,10,30576
10,11,30742
10,12,30831
10,13,30630
10,14,30646
10,15,30910
15,5,31240
15,6,30877
15,7,31005
15,8,30839
15,9,31124
15,10,31074
15,11,30973
15,12,30751
15,13,30976
15,14,31018
15,15,31086
20,5,31116
20,6,31325
20,7,30799
20,8,31205
20,9,31181
20,10,31158
20,11,31065
20,12,31167
20,13,30802
20,14,30870
20,15,30904
25,5,30934
25,6,31087
25,7,31231
25,8,30955
25,9,31283
25,10,31266
25,11,30956
25,12,31257
25,13,31114
25,14,31063
25,15,30966
30,5,30724
30,6,31022
30,7,30914
30,8,30660
30,9,31063
30,10,30940
30,11,30917
30,12,31033
30,13,31049
30,14,30943
30,15,31013
35,5,30403
35,6,30349
35,7,30496
35,8,30623
35,9,30330
35,10,30628
35,11,30506
35,12,30279
35,13,30257
35,14,30548
35,15,30522
40,5,30414
40,6,30409
40,7,30295
40,8,30450
40,9,30277
40,10,30455
40,11,30492
40,12,30460
40,13,30289
40,14,30470
40,15,30458
45,5,30787
45,6,30544
45,7,30874
45,8,30895
45,9,30890
45,10,30923
45,11,30910
45,12,30973
45,13,30977
45,14,30886
45,15,30913
50,5,30543
50,6,30851
50,7,30497
50,8,30548
50,9,30490
50,10,30272
50,11,30527
50,12,30562
50,13,30542
50,14,30497
50,15,30546
55,5,30728
55,6,30657
55,7,30482
55,8,30842
55,9,30845
55,10,30476
55,11,30461
55,12,30494
55,13,30829
55,14,30452
55,15,30814
60,5,31036
60,6,31364
60,7,30831
60,8,31151
60,9,30846
60,10,31110
60,11,31127
60,12,31149
60,13,31137
60,14,31120
60,15,31152
65,5,31312
65,6,30837
65,7,31074
65,8,30848
65,9,30994
65,10,31319
65,11,31132
65,12,31293
65,13,31277
65,14,31058
65,15,31298
70,5,32166
70,6,31869
70,7,32088
70,8,32146
70,9,32071
70,10,31756
70,11,31579
70,12,32105
70,13,32092
70,14,32069
70,15,32119
75,5,31909
75,6,32239
75,7,31643
75,8,31931
75,9,31983
75,10,31959
75,11,31960
75,12,31930
75,13,31957
75,14,31881
75,15,31660
80,5,32531
80,6,32101
80,7,31750
80,8,31967
80,9,31967
80,10,31960
80,11,32061
80,12,31480
80,13,31982
80,14,31901
80,15,31767
85,5,31581
85,6,31667
85,7,32316
85,8,31899
85,9,32358
85,10,32000
85,11,31939
85,12,31954
85,13,32158
85,14,31992
85,15,31977
90,5,31892
90,6,32551
90,7,32286
90,8,32577
90,9,32384
90,10,32543
90,11,32435
90,12,32360
90,13,32068
90,14,32230
90,15,32368
95,5,32092
95,6,32214
95,7,32259
95,8,31961
95,9,32025
95,10,31969
95,11,32225
95,12,32250
95,13,32261
95,14,32028
95,15,32281
100,5,31782
100,6,31676
100,7,32332
100,8,32529
100,9,31987
100,10,32057
100,11,32064
100,12,32316
100,13,32238
100,14,32296
100,15,32265
