minInliningThreshold,freqInlineSize,loopMinUnroll,inlineSmallCode,maxInlineLevel,loopUnrollLimit,loopMaxUnroll,maxRecursiveInlineLevel,maxInlineSize,result
341,1148,8,11,31,166,2,36,11,3780
329,1943,5,11,21,143,0,44,17,3621
387,933,10,13,80,158,0,97,19,4551
351,1955,5,14,24,391,2,49,7,4040
270,888,9,9,31,252,3,15,25,3739
332,1416,6,15,78,424,1,23,12,4216
129,992,5,13,70,254,2,118,16,4641
271,1799,3,15,56,400,2,144,10,5166
87,1361,3,11,38,416,3,103,18,4855
69,1032,2,15,70,270,3,41,6,3953
106,675,7,5,22,442,3,41,19,4084
176,1574,9,12,31,445,2,138,26,4981
338,1248,10,6,48,465,1,14,7,3795
285,1012,6,13,65,316,0,77,14,4090
258,1706,7,5,21,206,0,28,6,3648
391,1270,10,7,54,429,3,71,7,4527
376,1061,8,15,41,176,1,112,26,4374
107,1416,7,8,75,448,0,68,7,4074
123,1251,9,9,64,266,2,79,19,4190
357,1055,5,13,55,181,0,75,10,3963
192,1294,3,9,34,374,2,116,12,4207
362,953,6,15,79,185,2,110,25,4403
283,1938,10,6,43,260,3,108,9,4299
340,1714,10,7,76,362,3,46,12,3929
91,840,6,14,75,224,0,132,8,4661
396,1600,4,11,78,400,1,101,10,4609
336,1681,9,11,55,317,1,91,26,4138
306,837,2,10,48,244,3,45,10,3549
287,1201,5,12,30,418,1,83,25,4162
229,931,7,15,46,392,3,121,20,5069
306,1574,6,13,72,328,2,67,19,3926
64,871,4,8,69,266,3,70,7,4075
346,1169,4,6,34,457,0,57,18,3879
99,1970,9,7,43,327,3,97,25,4409
329,1828,5,11,25,408,3,21,22,3997
92,711,6,13,67,364,0,16,8,4003
201,549,3,13,63,279,0,18,17,3941
200,1398,6,8,63,443,1,123,23,4690
235,1874,7,5,28,195,1,54,10,3499
300,1442,4,8,68,484,1,106,24,4894
323,1199,2,11,60,180,3,115,13,4576
313,1326,4,11,74,102,2,17,18,3897
240,1131,10,6,80,363,1,89,21,4603
287,1296,7,5,51,437,0,129,24,4318
138,1282,5,7,70,487,2,67,22,4468
82,1223,8,11,37,333,2,85,10,4243
