minInliningThreshold,freqInlineSize,loopMinUnroll,inlineSmallCode,maxInlineLevel,loopUnrollLimit,loopMaxUnroll,maxRecursiveInlineLevel,maxInlineSize,result
224,531,4,14,20,477,0,52,24,3499
384,904,3,10,25,382,0,48,26,3545
385,739,2,14,24,239,0,44,15,3728
336,1047,6,15,21,464,0,50,17,3531
119,1454,3,14,25,298,2,51,22,3547
189,909,3,5,21,493,0,64,25,3848
104,1552,2,15,22,160,2,53,19,3712
231,1483,7,13,20,365,0,48,25,3530
179,585,2,15,36,459,0,47,25,3557
388,1688,4,11,21,414,0,53,24,3546
130,668,6,9,26,385,2,45,23,4036
352,1249,6,11,24,347,2,48,23,3546
242,1489,3,5,37,437,0,47,24,3592
161,531,7,15,32,370,0,49,26,3882
259,978,2,11,20,266,2,40,26,3517
207,1137,6,14,21,380,2,49,24,3543
220,838,2,14,37,407,0,48,19,3592
342,1245,7,12,25,372,2,46,25,3537
345,1940,3,14,23,373,1,46,26,3525
94,942,4,15,24,370,1,45,26,3528
294,1266,10,9,24,245,2,52,8,3491
281,1208,4,15,23,374,2,44,10,3522
332,1394,10,11,23,458,2,50,25,4036
256,1275,10,15,22,381,2,53,17,3542
213,1816,8,12,27,247,2,50,26,3508
320,1071,9,9,26,185,2,50,24,3709
350,1575,3,12,20,377,2,45,15,3532
179,1217,2,13,20,499,0,22,25,3731
281,1672,10,14,25,230,1,48,21,3732
199,1932,4,15,25,378,2,49,6,3550
266,1751,4,11,24,372,2,53,21,3554
331,1092,10,11,27,368,1,34,24,3681
195,863,9,9,28,363,1,49,16,3561
321,1870,4,10,23,385,2,47,25,4028
157,1047,7,11,23,383,2,48,26,4021
261,1115,5,9,23,331,2,50,26,3539
130,1459,6,14,39,475,0,17,11,3703
368,1863,4,6,39,438,0,44,18,3597
180,578,4,10,27,217,2,44,22,3458
204,1464,3,10,38,286,2,43,17,3578
325,1849,3,9,22,371,2,49,23,3536
143,531,4,14,21,212,1,53,26,3479
298,546,2,12,22,371,2,41,19,3710
124,1578,2,8,21,321,2,46,24,3524
186,1106,5,15,24,362,2,54,25,3589
283,1271,9,13,22,401,0,49,21,3530
286,730,10,9,37,326,0,35,10,3571
197,687,10,11,37,367,1,39,24,3572
177,1487,4,14,24,221,2,57,23,3793
319,1044,3,12,39,346,2,43,6,3581
69,1995,4,13,24,392,2,50,8,4041
322,952,4,10,45,492,0,44,15,3606
388,630,2,13,45,496,0,46,16,3944
387,596,10,15,36,246,2,41,14,3752
385,1135,4,10,41,379,2,44,10,3613
215,699,2,10,39,383,2,50,23,4426
294,1258,3,15,37,356,2,48,25,3593
141,817,4,7,38,358,2,36,15,3603
220,1100,4,10,40,366,2,43,25,3942
378,675,4,11,38,340,1,50,13,3606
