10,5,865
10,6,864
10,7,865
10,8,865
10,9,866
10,10,864
10,11,865
10,12,864
10,13,866
10,14,865
10,15,865
15,5,870
15,6,869
15,7,871
15,8,868
15,9,869
15,10,872
15,11,872
15,12,869
15,13,871
15,14,871
15,15,870
20,5,868
20,6,868
20,7,868
20,8,869
20,9,868
20,10,868
20,11,868
20,12,867
20,13,869
20,14,868
20,15,872
25,5,860
25,6,860
25,7,861
25,8,860
25,9,859
25,10,860
25,11,859
25,12,860
25,13,859
25,14,860
25,15,861
30,5,863
30,6,863
30,7,862
30,8,862
30,9,862
30,10,862
30,11,863
30,12,862
30,13,862
30,14,862
30,15,863
35,5,854
35,6,854
35,7,853
35,8,854
35,9,853
35,10,854
35,11,853
35,12,853
35,13,850
35,14,853
35,15,854
40,5,853
40,6,854
40,7,853
40,8,851
40,9,854
40,10,854
40,11,854
40,12,853
40,13,853
40,14,852
40,15,853
45,5,852
45,6,854
45,7,853
45,8,873
45,9,852
45,10,852
45,11,852
45,12,853
45,13,852
45,14,852
45,15,852
50,5,854
50,6,851
50,7,852
50,8,852
50,9,853
50,10,853
50,11,853
50,12,851
50,13,852
50,14,853
50,15,853
55,5,854
55,6,856
55,7,854
55,8,853
55,9,854
55,10,853
55,11,854
55,12,854
55,13,853
55,14,853
55,15,854
60,5,852
60,6,854
60,7,853
60,8,853
60,9,855
60,10,853
60,11,854
60,12,854
60,13,853
60,14,854
60,15,854
65,5,852
65,6,852
65,7,853
65,8,855
65,9,853
65,10,853
65,11,853
65,12,855
65,13,854
65,14,855
65,15,855
70,5,850
70,6,853
70,7,852
70,8,850
70,9,852
70,10,850
70,11,850
70,12,851
70,13,850
70,14,851
70,15,850
75,5,853
75,6,851
75,7,851
75,8,851
75,9,852
75,10,853
75,11,851
75,12,851
75,13,851
75,14,851
75,15,852
80,5,852
80,6,853
80,7,855
80,8,855
80,9,854
80,10,854
80,11,856
80,12,854
80,13,855
80,14,854
80,15,855
85,5,852
85,6,850
85,7,851
85,8,849
85,9,851
85,10,851
85,11,853
85,12,851
85,13,851
85,14,851
85,15,850
90,5,852
90,6,851
90,7,854
90,8,856
90,9,854
90,10,855
90,11,854
90,12,856
90,13,854
90,14,853
90,15,854
95,5,851
95,6,851
95,7,852
95,8,853
95,9,854
95,10,856
95,11,857
95,12,854
95,13,857
95,14,854
95,15,854
100,5,854
100,6,851
100,7,853
100,8,852
100,9,851
100,10,851
100,11,852
100,12,851
100,13,852
100,14,851
100,15,853
