minInliningThreshold,freqInlineSize,loopMinUnroll,inlineSmallCode,maxInlineLevel,loopUnrollLimit,loopMaxUnroll,maxRecursiveInlineLevel,maxInlineSize,result
246,555,9,9,41,125,1,10,20,3265
167,643,4,13,45,110,0,15,26,3259
184,588,10,5,43,185,0,12,24,3846
152,584,10,11,41,126,0,13,24,3791
235,1843,10,10,44,115,2,16,23,3786
51,882,9,13,48,145,2,10,22,3302
187,524,5,7,41,110,0,11,19,3296
270,1305,5,8,48,144,0,10,21,3795
179,1242,6,12,44,104,2,12,25,3245
378,1179,9,6,43,104,1,40,19,3246
297,699,9,13,39,130,0,10,17,3924
346,1404,9,5,59,116,1,53,19,3628
217,750,7,13,46,122,0,15,26,3231
311,807,9,11,49,110,0,12,24,3056
154,865,6,11,43,134,1,11,26,3853
291,672,9,15,43,110,0,13,26,3293
357,1064,8,15,47,116,0,12,25,3041
157,890,9,8,41,138,0,13,19,3831
350,692,7,14,52,108,0,13,19,3791
223,1384,9,12,44,138,1,12,20,3255
143,626,8,15,46,105,0,19,25,3266
255,1031,7,11,42,101,1,16,25,3275
386,732,7,14,49,129,0,20,24,3790
334,1286,8,13,43,105,0,20,25,3231
64,1531,6,12,44,125,2,13,25,3813
276,1603,9,15,30,158,0,10,25,3756
356,1750,8,11,43,133,2,13,21,3522
310,838,8,8,44,117,2,15,25,3028
223,783,8,6,51,162,1,14,26,3046
199,689,9,6,78,120,2,12,26,3703
214,607,10,6,51,123,2,12,25,3860
234,976,8,12,52,144,1,28,26,3866
390,671,8,9,42,112,1,13,23,3790
110,804,9,12,50,106,3,12,22,3596
71,1334,9,13,49,101,1,10,19,3263
295,1749,8,15,20,134,0,13,26,3616
292,1756,9,13,51,102,1,14,20,3271
297,1011,9,7,47,166,0,12,25,3297
338,774,9,11,46,118,3,12,18,3569
378,923,8,9,46,231,2,14,26,3344
113,698,8,13,48,277,0,15,24,3567
178,570,7,12,42,175,0,16,25,3774
321,719,9,11,43,140,0,14,22,3011
319,754,9,12,49,390,0,10,23,3629
283,1291,10,10,45,108,2,17,21,3256
348,840,9,10,49,126,0,17,19,3314
390,1602,8,7,49,131,0,10,19,3805
336,1010,10,9,43,107,2,16,26,3304
282,1128,8,9,51,204,2,14,24,3728
80,770,9,11,45,110,0,14,21,3295
351,974,9,9,46,124,0,15,26,3614
126,787,8,11,48,102,1,20,25,3837
72,1260,10,8,45,109,2,17,17,3860
352,1224,9,7,44,118,1,16,26,2979
230,1641,8,6,52,121,1,11,23,3020
370,798,9,5,49,145,2,14,23,3313
292,1315,8,7,45,115,2,37,26,3790
330,1441,9,11,41,152,1,14,19,3824
296,1098,8,15,46,114,0,17,17,3305
197,554,8,8,48,159,1,12,20,3288
319,907,9,10,41,101,1,14,23,3307
331,1313,7,15,43,116,0,16,23,2985
342,770,4,14,47,100,2,11,24,3821
355,837,9,15,47,113,0,12,24,3615
335,657,8,10,47,152,0,10,24,3529
329,811,9,12,37,150,0,12,25,3713
396,1081,7,6,54,116,2,16,26,3664
260,1420,10,7,56,102,1,12,20,3658
210,1366,7,14,45,107,0,18,25,3239
179,1448,9,11,50,130,0,16,20,3796
299,532,9,6,47,110,0,11,17,3629
352,1110,10,13,51,106,0,17,21,3615
391,1381,10,6,47,117,1,31,20,3253
346,1050,9,14,43,165,0,13,23,3285
272,932,7,7,42,100,0,12,26,3269
89,1229,4,15,46,113,0,15,19,3508
342,1457,9,7,45,165,1,15,25,3294
138,1790,8,6,46,116,1,13,17,3813
149,702,8,7,51,116,2,12,22,3300
208,1216,4,6,48,142,1,14,26,3809
288,590,7,15,46,140,0,16,25,3254
383,1270,7,12,46,113,1,13,23,3246
348,1156,7,7,41,211,1,16,21,3288
