backgroundCompilationEnabled,freqInlineSize,minInliningThreshold,inlineSmallCode,graalBootstrapEnabled,compileThreshold,codeFlushingEnabled,onStackReplacePercentage,loopMinUnroll,counterDecayEnabled,maxInlineLevel,loopUnrollLimit,loopMaxUnroll,maxRecursiveInlineLevel,tieredCompilationEnabled,maxInlineSize,compileHugeMethodsEnabled,graalCompilerEnabled,result
0,274,1989,1,19494,9,0,6,0,1,907,66,432,2,1,96,20,1,10978
0,144,1648,0,26852,11,1,2,1,0,359,79,370,2,1,139,18,1,26291
0,185,1886,0,2626,11,0,2,1,1,387,31,459,3,0,59,8,1,4369
1,241,1754,0,24040,15,0,9,1,1,182,68,431,1,0,131,23,0,5352
1,320,1726,1,14812,7,1,8,0,1,668,52,393,1,1,90,20,0,17587
0,221,1235,1,13398,10,0,7,0,0,564,76,299,0,0,142,16,0,3932
0,236,923,0,6574,7,1,2,0,1,186,61,472,0,0,28,14,1,3958
0,54,1527,1,30660,11,1,4,0,1,633,42,303,2,0,22,22,0,4157
1,199,1711,1,37333,15,0,2,0,1,549,22,225,3,1,127,14,0,18244
1,365,1254,0,4454,11,1,10,1,0,724,43,283,3,0,99,17,1,4453
0,216,1967,1,43432,15,1,3,0,0,970,54,117,3,0,29,23,1,3616
1,322,1582,0,23645,5,1,5,0,1,738,75,280,0,1,53,8,0,59123
0,312,831,1,27959,14,1,7,1,0,222,78,179,0,1,142,22,1,14013
1,237,728,1,12285,8,0,10,0,1,294,67,224,3,1,21,20,0,28100
0,250,1275,0,10227,7,0,5,0,1,294,79,249,3,1,79,13,1,18869
1,371,625,0,15272,12,1,6,0,1,410,34,395,3,1,121,11,0,59967
0,370,1818,1,17630,14,0,2,1,1,618,76,492,2,1,32,8,0,7959
1,121,1223,0,31182,6,0,3,1,1,482,23,384,3,1,15,26,1,7293
0,70,1077,0,35246,7,0,3,1,1,934,49,483,0,1,103,11,1,23623
0,373,1824,0,40022,13,0,9,1,0,442,79,377,2,1,146,9,1,32730
0,383,1976,1,18214,5,0,3,1,1,612,70,427,3,1,20,6,1,5975
0,342,1521,0,11845,7,0,10,1,0,911,47,100,1,1,145,10,0,131240
0,373,1294,0,19660,8,0,10,0,1,768,72,466,1,0,131,11,0,4518
0,251,1809,1,32892,15,0,9,0,0,851,70,480,1,1,150,19,0,8629
1,338,747,1,11011,14,1,3,0,0,601,23,110,2,0,144,10,0,4341
0,368,648,1,44503,11,0,10,0,1,519,25,157,1,1,50,16,1,6161
1,121,807,0,35986,8,0,10,0,1,231,60,150,2,1,60,19,0,59575
0,289,1305,0,24650,5,1,7,0,1,946,77,421,3,1,150,10,0,123164
0,237,1126,0,5970,15,1,3,0,0,991,79,158,2,0,149,17,1,5285
