minInliningThreshold,freqInlineSize,loopMinUnroll,inlineSmallCode,maxInlineLevel,loopUnrollLimit,loopMaxUnroll,maxRecursiveInlineLevel,maxInlineSize,result
156,1647,6,13,21,190,1,10,14,3662
155,1651,6,14,21,188,1,10,14,3622
154,1656,6,14,20,186,1,10,14,3659
153,1660,6,14,20,184,1,10,14,3655
152,1664,6,14,20,182,1,10,14,3662
151,1669,6,14,20,179,1,10,14,3657
150,1673,6,14,20,177,1,10,14,3656
149,1678,6,14,20,175,1,10,14,3663
148,1683,6,14,20,173,1,10,14,3661
147,1687,6,14,20,170,1,10,14,3651
146,1692,6,14,20,168,1,10,14,3654
145,1698,6,14,20,166,1,10,14,3656
144,1703,6,14,20,163,1,10,14,3658
143,1708,6,14,20,161,1,10,14,3657
141,1713,6,14,20,158,1,10,14,3660
140,1719,6,14,20,155,1,10,14,3657
139,1724,6,14,20,153,1,10,14,3660
138,1730,6,14,20,150,1,10,14,3603
136,1737,6,14,20,146,1,10,14,3601
134,1745,6,14,20,142,1,10,14,3599
132,1754,6,14,20,138,1,10,14,3601
131,1763,6,15,20,134,1,10,14,3602
128,1772,6,15,20,129,1,10,14,3597
126,1782,6,15,20,125,1,10,14,3604
124,1792,6,15,20,120,1,10,14,3598
122,1803,6,15,20,115,1,10,14,3602
119,1813,6,15,20,109,1,10,14,3597
117,1825,6,15,20,104,1,10,14,3662
115,1834,6,15,20,100,1,10,14,3656
113,1843,6,15,20,100,1,10,14,3593
110,1856,6,15,20,100,1,10,14,3660
108,1866,6,15,20,100,1,10,14,3647
106,1876,6,15,20,100,1,10,14,3649
103,1888,6,15,20,100,1,10,14,3595
100,1902,6,15,20,100,0,10,14,3651
97,1914,6,15,20,100,0,10,14,3652
94,1926,6,15,20,100,0,10,14,3657
92,1938,5,15,20,100,0,10,13,3588
88,1956,5,15,20,100,0,10,13,3655
85,1969,5,15,20,100,0,10,13,3652
82,1983,5,15,20,100,0,10,13,3651
78,1997,5,15,20,100,0,10,13,3655
76,2000,5,15,20,100,0,10,13,3651
72,2000,5,15,20,100,0,10,13,3653
68,2000,5,15,20,100,0,10,13,3652
64,2000,5,15,20,100,0,10,13,3655
62,2000,5,15,20,100,0,10,13,3651
57,2000,5,15,20,100,0,10,13,3593
51,2000,5,15,20,100,0,10,13,3390
50,2000,5,15,20,100,0,10,13,3650
50,2000,5,15,20,100,0,10,13,3592
50,2000,5,15,20,100,0,10,13,3652
50,2000,5,15,20,100,0,10,13,3654
50,2000,5,15,20,100,0,10,13,3653
50,2000,5,15,20,100,0,10,13,3662
50,2000,5,15,20,100,0,10,13,3656
50,2000,5,15,20,100,0,10,13,3591
50,2000,5,15,20,100,0,10,12,3656
50,2000,5,15,20,100,0,10,12,3591
50,2000,5,15,20,100,0,10,12,3666
50,2000,5,15,20,100,0,10,12,3653
50,2000,5,15,20,100,0,10,12,3592
50,2000,5,15,20,100,0,10,12,3592
50,2000,4,15,20,100,0,10,12,3653
50,2000,4,15,20,100,0,10,12,3654
50,2000,4,15,20,100,0,10,12,3664
50,2000,4,15,20,100,0,10,12,3600
50,2000,4,15,20,100,0,10,11,3659
50,2000,4,15,20,100,0,10,11,3650
50,2000,4,15,20,100,0,10,11,3590
50,2000,4,15,20,100,0,10,11,3661
50,2000,4,15,20,100,0,10,11,3654
50,2000,4,15,20,100,0,10,11,3588
50,2000,4,15,20,100,0,10,11,3654
50,2000,4,15,20,100,0,10,10,3588
50,2000,3,15,20,100,0,10,10,3653
50,2000,3,15,20,100,0,10,10,3652
50,2000,3,15,20,100,0,10,10,3650
50,2000,3,15,20,100,0,10,9,3658
50,2000,3,15,20,100,0,10,9,3587
50,2000,3,15,20,100,0,10,9,3591
50,2000,2,15,20,100,0,10,9,3655
50,2000,2,15,20,100,0,10,8,3660
50,2000,2,15,20,100,0,10,8,3655
50,2000,2,15,20,100,0,10,8,3654
50,2000,2,15,20,100,0,10,7,3598
50,2000,2,15,20,100,0,10,7,3598
50,2000,2,15,20,100,0,10,6,3596
50,2000,2,15,20,100,0,10,6,3589
50,2000,2,15,20,100,0,10,6,3657
50,2000,2,15,20,100,0,10,6,3649
50,2000,2,15,20,100,0,10,6,3593
50,2000,2,15,20,100,0,10,6,3326
50,2000,2,15,20,100,0,10,6,3662
50,2000,2,15,20,100,0,10,6,3592
50,2000,2,15,20,100,0,10,6,3601
50,2000,2,15,20,100,0,10,6,3655
50,2000,2,15,20,100,0,10,6,3598
50,2000,2,15,20,100,0,10,6,3654
50,2000,2,15,20,100,0,10,6,3596
50,2000,2,15,20,100,0,10,6,3658
50,2000,2,15,20,100,0,10,6,3659
50,2000,2,15,20,100,0,10,6,3649
50,2000,2,15,20,100,0,10,6,3659
50,2000,2,15,20,100,0,10,6,3593
50,2000,2,15,20,100,0,10,6,3597
50,2000,2,15,20,100,0,10,6,3597
50,2000,2,15,20,100,0,10,6,3594
50,2000,2,15,20,100,0,10,6,3657
50,2000,2,15,20,100,0,10,6,3599
50,2000,2,15,20,100,0,10,6,3589
50,2000,2,15,20,100,0,10,6,3656
50,2000,2,15,20,100,0,10,6,3651
50,2000,2,15,20,100,0,10,6,3595
50,2000,2,15,20,100,0,10,6,3591
50,2000,2,15,20,100,0,10,6,3592
50,2000,2,15,20,100,0,10,6,3653
50,2000,2,15,20,100,0,10,6,3660
50,2000,2,15,20,100,0,10,6,3592
50,2000,2,15,20,100,0,10,6,3654
50,2000,2,15,20,100,0,10,6,3595
50,2000,2,15,20,100,0,10,6,3595
50,2000,2,15,20,100,0,10,6,3663
50,2000,2,15,20,100,0,10,6,3596
50,2000,2,15,20,100,0,10,6,3591
50,2000,2,15,20,100,0,10,6,3661
50,2000,2,15,20,100,0,10,6,3651
50,2000,2,15,20,100,0,10,6,3589
50,2000,2,15,20,100,0,10,6,3655
50,2000,2,15,20,100,0,10,6,3600
